scorer,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000
bodyparts,left antennae,left antennae,left antennae,right antennae,right antennae,right antennae,Base of antennae,Base of antennae,Base of antennae,left wing hinge,left wing hinge,left wing hinge,right wing hinge,right wing hinge,right wing hinge,sting,sting,sting,Petiole,Petiole,Petiole
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
39,193.8625946044922,83.45201110839844,1.0,170.94627380371094,139.71304321289062,1.0,156.57936096191406,101.9099349975586,1.0,127.62570190429688,74.2945327758789,1.0,124.19219207763672,122.0439682006836,1.0,15.962459564208984,72.564208984375,0.9999987483024597,98.85870361328125,93.73328399658203,1.0
40,187.53305053710938,76.71971130371094,1.0,179.9702606201172,139.77491760253906,1.0,156.94537353515625,101.98583984375,1.0,129.60287475585938,77.072509765625,1.0,123.87217712402344,127.23410034179688,1.0,16.806821823120117,79.5307846069336,0.9999996423721313,98.30364990234375,97.10892486572266,1.0
41,183.3983612060547,63.773807525634766,1.0,188.35670471191406,126.00616455078125,1.0,156.8917694091797,97.14999389648438,1.0,125.06411743164062,75.95545959472656,1.0,121.21311950683594,126.12635040283203,1.0,18.607328414916992,75.7349853515625,0.9999368190765381,97.23806762695312,96.61640167236328,1.0
42,189.88726806640625,73.4677963256836,0.9999991655349731,183.35133361816406,126.19444274902344,1.0,156.61541748046875,98.5440902709961,1.0,126.78268432617188,71.60105895996094,0.9999998807907104,120.47682189941406,124.14852905273438,1.0,18.56549644470215,74.21851348876953,0.9997439384460449,97.03327178955078,93.66169738769531,1.0
43,193.14544677734375,81.60824584960938,1.0,178.89483642578125,135.54983520507812,1.0,158.5946807861328,99.1182861328125,1.0,129.933349609375,71.32637786865234,1.0,119.99201965332031,124.57022857666016,1.0,18.63397979736328,66.44924926757812,0.999739408493042,99.44540405273438,91.42818450927734,1.0
44,197.59716796875,88.95454406738281,1.0,161.93374633789062,148.7930908203125,1.0,156.72476196289062,102.7666015625,1.0,124.13323974609375,72.79755401611328,1.0,119.99075317382812,123.43846130371094,1.0,15.115728378295898,77.77747344970703,1.0,95.65814971923828,94.91566467285156,1.0
45,192.26095581054688,96.93437194824219,1.0,162.40084838867188,144.9871826171875,1.0,154.77574157714844,104.94446563720703,1.0,123.0244140625,76.16521453857422,1.0,117.84300994873047,121.76792907714844,1.0,15.40134048461914,68.78314208984375,0.9998562932014465,97.32164001464844,93.44744110107422,0.9999923706054688
46,194.99229431152344,87.44804382324219,1.0,169.91232299804688,138.17190551757812,1.0,156.2091522216797,100.820556640625,1.0,125.65369415283203,76.6419906616211,0.9999987483024597,119.60185241699219,120.25537109375,0.9999996423721313,16.261478424072266,76.0610580444336,0.9999985694885254,96.98770904541016,94.04995727539062,0.9999979138374329
47,185.29571533203125,79.34276580810547,1.0,170.98843383789062,141.56399536132812,1.0,155.42568969726562,99.96569061279297,1.0,125.53822326660156,77.84461975097656,0.999997615814209,124.7298583984375,124.05288696289062,0.9999997615814209,15.049072265625,83.9451904296875,1.0,96.32567596435547,97.42994689941406,0.9999996423721313
48,191.86367797851562,77.69198608398438,0.999996542930603,184.2881622314453,136.784423828125,1.0,158.13363647460938,100.27606964111328,1.0,122.95728302001953,74.83930206298828,0.9967937469482422,119.43858337402344,122.09059143066406,0.9999504089355469,15.177461624145508,84.52510833740234,1.0,96.11862182617188,97.12266540527344,0.9999990463256836
49,190.67271423339844,79.20101165771484,0.9999989867210388,180.19227600097656,134.5124053955078,1.0,156.09034729003906,100.29364776611328,1.0,121.98328399658203,76.2282943725586,0.9967043399810791,122.05308532714844,125.5910415649414,0.9999966621398926,14.699079513549805,80.95390319824219,1.0,95.49322509765625,97.59900665283203,0.9999996423721313
50,195.96414184570312,93.02860260009766,1.0,167.7660369873047,150.02029418945312,1.0,156.45396423339844,106.00128936767578,1.0,128.3757781982422,77.49406433105469,1.0,121.75946044921875,125.34380340576172,1.0,17.8863468170166,77.63986206054688,1.0,96.21745300292969,96.48785400390625,1.0
51,189.52378845214844,103.74327087402344,1.0,159.53025817871094,152.98345947265625,1.0,151.21849060058594,110.51245880126953,1.0,125.68356323242188,78.18897247314453,1.0,118.29115295410156,124.86367797851562,1.0,22.29352569580078,61.55934143066406,1.0,95.10096740722656,95.06964111328125,1.0
52,192.66143798828125,103.25840759277344,1.0,151.26956176757812,156.76901245117188,1.0,150.18643188476562,112.24440002441406,1.0,125.7371597290039,79.28741455078125,1.0,117.6292495727539,125.05828857421875,1.0,20.793102264404297,61.92539978027344,1.0,97.48603820800781,91.64643096923828,1.0
53,190.2709503173828,99.76295471191406,1.0,160.64772033691406,153.62747192382812,1.0,151.67294311523438,112.08389282226562,1.0,126.89010620117188,82.37875366210938,1.0,117.22885131835938,125.29222869873047,1.0,19.296199798583984,64.81013488769531,1.0,95.63045501708984,94.7330322265625,1.0
54,190.020263671875,94.60005187988281,1.0,166.4646759033203,151.13491821289062,1.0,153.77952575683594,109.96392822265625,1.0,124.69453430175781,79.32975006103516,1.0,115.81598663330078,125.84675598144531,1.0,16.223365783691406,74.92611694335938,1.0,95.15546417236328,97.0768814086914,1.0
55,184.33074951171875,80.65889739990234,0.9999986290931702,171.2447967529297,138.53182983398438,1.0,153.2658233642578,103.13079833984375,1.0,125.56828308105469,78.8662338256836,0.9991883635520935,117.71247100830078,124.10147094726562,0.9998435974121094,8.589203834533691,82.84698486328125,0.0012796521186828613,97.1829605102539,97.67264556884766,0.9998273849487305
56,181.37136840820312,80.29075622558594,1.0,168.43414306640625,142.27642822265625,1.0,151.1765594482422,104.16098022460938,1.0,124.5610580444336,76.6837387084961,1.0,120.01792907714844,124.89949035644531,1.0,26.09435272216797,76.39183044433594,0.014712363481521606,96.64125061035156,94.17900085449219,1.0
57,179.47970581054688,80.44552612304688,1.0,163.3848114013672,145.14967346191406,1.0,148.01187133789062,104.90011596679688,1.0,117.11942291259766,74.77099609375,1.0,118.29823303222656,125.4118423461914,1.0,12.826062202453613,74.24495697021484,1.0,91.00497436523438,92.88937377929688,1.0
58,188.17982482910156,102.79724884033203,1.0,157.0684356689453,149.65658569335938,1.0,146.2779998779297,112.326416015625,1.0,119.87091064453125,76.58631896972656,1.0,117.71055603027344,124.84574127197266,1.0,16.074037551879883,65.91537475585938,1.0,92.52552032470703,94.55562591552734,1.0
59,189.54000854492188,99.89218139648438,1.0,162.01654052734375,150.62632751464844,1.0,150.24734497070312,110.12879943847656,1.0,125.34815979003906,78.3701400756836,1.0,118.37675476074219,124.18095397949219,1.0,15.698845863342285,66.63433837890625,0.9999975562095642,95.99441528320312,92.29400634765625,1.0
60,188.3177947998047,95.22089385986328,1.0,165.77012634277344,150.4705810546875,1.0,152.4776611328125,108.36781311035156,1.0,123.9471435546875,74.88887786865234,1.0,118.90156555175781,123.96669006347656,1.0,17.78742790222168,64.41585540771484,0.9998733997344971,95.3187026977539,92.49815368652344,1.0
61,183.21490478515625,78.50394439697266,1.0,180.05300903320312,134.1280059814453,1.0,154.93055725097656,102.64984893798828,1.0,126.50497436523438,76.7771987915039,1.0,117.40760803222656,127.27284240722656,1.0,17.368881225585938,73.68720245361328,1.0,93.24874877929688,97.29561614990234,1.0
62,186.2638702392578,72.75453186035156,1.0,177.6864776611328,132.52847290039062,1.0,154.0256805419922,102.03504180908203,1.0,123.10775756835938,76.48789978027344,1.0,115.02232360839844,125.28094482421875,1.0,19.20363998413086,69.90618896484375,1.0,96.06715393066406,95.16487121582031,1.0
63,181.72975158691406,79.72172546386719,1.0,174.7383270263672,141.1104278564453,1.0,151.90423583984375,103.92365264892578,1.0,121.96508026123047,77.9115982055664,1.0,114.6742935180664,127.16925811767578,1.0,14.559081077575684,77.75286102294922,1.0,95.61717224121094,92.8521499633789,1.0
64,183.34222412109375,89.44483947753906,1.0,168.49276733398438,144.23828125,1.0,149.7267303466797,106.66291046142578,1.0,121.36038970947266,76.59459686279297,1.0,116.3751220703125,125.27430725097656,1.0,16.889999389648438,70.73733520507812,1.0,94.10260772705078,94.68509674072266,1.0
65,177.50640869140625,67.15150451660156,1.0,174.98724365234375,131.13063049316406,1.0,150.40020751953125,100.22561645507812,1.0,120.26472473144531,75.4895248413086,1.0,117.6206283569336,124.44173431396484,1.0,14.861679077148438,73.16002655029297,1.0,94.22480773925781,94.34024810791016,1.0
